"","file","type","name","date","day","batch","beer.name","beer.number","brewery","ABV","beer.type","tasting.category"
"1","D:/Documents/beer_chromatograms_miguel/20170119_calibration/alkanes_1.cdf","standard","20170119_calibration/alkanes_1.cdf",2017-01-19,19,1,NA,NA,NA,NA,NA,NA
"2","D:/Documents/beer_chromatograms_miguel/20170120/alkanes_1.cdf","standard","20170120/alkanes_1.cdf",2017-01-20,20,1,NA,NA,NA,NA,NA,NA
"3","D:/Documents/beer_chromatograms_miguel/20170123/alkanes_1.cdf","standard","20170123/alkanes_1.cdf",2017-01-23,23,1,NA,NA,NA,NA,NA,NA
"4","D:/Documents/beer_chromatograms_miguel/20170124/alkanes_1.cdf","standard","20170124/alkanes_1.cdf",2017-01-24,24,1,NA,NA,NA,NA,NA,NA
"5","D:/Documents/beer_chromatograms_miguel/20170128/alkanes_1.cdf","standard","20170128/alkanes_1.cdf",2017-01-28,28,1,NA,NA,NA,NA,NA,NA
"6","D:/Documents/beer_chromatograms_miguel/20170129/alkanes_1.cdf","standard","20170129/alkanes_1.cdf",2017-01-29,29,1,NA,NA,NA,NA,NA,NA
"7","D:/Documents/beer_chromatograms_miguel/20170130/alkanes_1.cdf","standard","20170130/alkanes_1.cdf",2017-01-30,30,1,NA,NA,NA,NA,NA,NA
"8","D:/Documents/beer_chromatograms_miguel/20170131/alkanes_1.cdf","standard","20170131/alkanes_1.cdf",2017-01-31,31,1,NA,NA,NA,NA,NA,NA
"9","D:/Documents/beer_chromatograms_miguel/20170201/alkanes_1.cdf","standard","20170201/alkanes_1.cdf",2017-02-01,32,1,NA,NA,NA,NA,NA,NA
"10","D:/Documents/beer_chromatograms_miguel/20170202/alkanes_1.cdf","standard","20170202/alkanes_1.cdf",2017-02-02,33,1,NA,NA,NA,NA,NA,NA
"11","D:/Documents/beer_chromatograms_miguel/20170203/alkanes_1.cdf","standard","20170203/alkanes_1.cdf",2017-02-03,34,1,NA,NA,NA,NA,NA,NA
"12","D:/Documents/beer_chromatograms_miguel/20170204/alkanes_1.cdf","standard","20170204/alkanes_1.cdf",2017-02-04,35,1,NA,NA,NA,NA,NA,NA
"13","D:/Documents/beer_chromatograms_miguel/20170206/alkanes_1.cdf","standard","20170206/alkanes_1.cdf",2017-02-06,37,1,NA,NA,NA,NA,NA,NA
"14","D:/Documents/beer_chromatograms_miguel/20170208/alkanes_1.cdf","standard","20170208/alkanes_1.cdf",2017-02-08,39,1,NA,NA,NA,NA,NA,NA
